type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.0005918269,-0.0075994893,-0.008780889,0.009064045,0.0026158504,-0.0015888512,-0.010168101,-0.0026311204,-0.0083092125,0.002966366,-0.00067631115,0.002846792,-0.003639559,-0.001084732,-0.0030892342,-0.0073028184,0.0014359427,0.010130753,-0.006482409,-0.005825227,-0.0025112242,0.004730343,-0.004733486,0.0029046119,0.0020481423,-0.0064413236,-0.0031989408,-0.008055686,0.0049190125,-0.0077405013,0.0066273105,0.0093613835,-0.006166525,-0.0034225818,0.000531784,0.00018836562,-0.0013058909,-0.0053491797,-0.0011711258,-0.0009211959,-0.0031528566,-0.008226202,0.0043588555,-0.00932408,-9.934327e-05,-0.0049624457,6.5743334e-05,-0.0018805016,0.004699569,-0.0067435005,-0.0027209213,0.0011697895,-0.002189752,-0.0029871606,-0.0016949716,0.0048489245,-0.0017524116,0.0021277112,-0.004583071,0.00518662,-0.0012644526,0.0080403555,0.0036353366,-0.002010442,0.0027123196,-0.0020664912,0.002472371,0.00077263464,-0.0012847711,-0.006429062,-0.007667531,0.00019499077,-0.006595907,-0.0081770485,-0.0083276015,0.0019731133,-0.0072961906,-0.005666726,0.0017545832,0.0008829671,0.006879341,0.0037303048,-0.005869994,-0.0021706796,0.0049651545,-0.00017939412,0.0054547517,-0.003963001,0.006185716,-4.1345185e-05,-0.005743171,0.0043835384,-0.010395976,-0.008440197,-0.0044280495,0.007594273,0.0067520887,0.00079192163,0.0066022812,0.001956265,-0.0047441684,-0.0027270988,-0.0086896885,0.0024743017,-0.0070912982,-0.0026972499,-0.0014637407,0.005775381,0.004597882,0.0036595548,0.000730068,-0.00542098,5.7779725e-05,-0.0043406035,0.010089719,-0.008183235,-0.0070414343,0.00046990553,0.001752294,0.009274389,0.011266809,0.006618412,-0.006234459,0.009182817,-0.0061756377,0.0015775375,-0.0071954075,-0.0008200989
1,0.0035161118,-0.007192587,0.002630815,0.0020053496,-0.00042266364,0.0039812415,-0.004430442,-0.00077797717,0.00046376948,0.0028390156,-0.008168229,-0.0042956485,0.006130984,0.0011880321,0.0025438026,-0.0074801124,-0.0016125212,0.0027619281,0.002291175,0.0056990646,0.00034464654,-0.0025886619,-0.002750524,0.0078711035,0.004747233,-0.0070265247,-0.0013846881,0.0041824467,0.0012083541,0.0065640793,-0.0038792095,-0.00068998296,0.006110912,0.0042225593,0.0074822973,-0.0029828714,0.0017103438,-0.0049010194,-0.0038261765,-0.0056981784,-0.0071522635,-0.0028825821,0.0031566191,-0.0024079403,0.0014026099,0.0034142002,0.005682428,0.0019235972,0.0063366173,-0.0033175803,-0.004268476,-0.00046845223,0.005833064,0.0046071312,-0.006578318,-0.0031299284,-0.0066202763,0.0065546962,-0.0016502747,-0.0007258846,0.0053338455,0.0017459581,-0.005789454,0.005816266,0.004063316,0.006726253,-0.0038491427,0.0031893326,0.0038528026,-0.0038963677,0.0011369045,0.004577431,-0.0060217083,-0.0077098384,0.0059147733,-0.0032396936,0.006683105,-0.0018087903,0.007640218,-0.0050065345,0.0027865057,0.0035059222,-0.006211265,0.0033441554,-0.00570003,-0.0038757948,0.005003908,0.0073022875,-0.0017746917,-0.0029816725,0.000278635,-0.0009376957,-0.008654398,-0.0069883196,0.004457778,0.005484489,-0.0018794659,0.0034250007,-0.0010595097,0.0027864885,-0.005032349,0.0022502409,-0.005406776,-0.0053394544,0.0059663607,-0.006628308,-0.0025430901,0.0034783296,-0.006848213,-0.0033790402,0.001019336,-0.005399195,0.007519761,0.007024259,0.0071277255,0.0016572452,-0.0036411847,7.408504e-05,-0.001973624,0.0060769585,-0.0036918977,-0.006074279,-0.008182098,-0.005149079,-0.0046229777,-0.0015472849,-0.0027674327,0.00471877
10,0.0066848183,0.0016076992,0.0012813169,0.0034961766,0.0035179225,0.0053969156,0.0020170184,0.0027854599,-0.0021741446,0.0051155984,0.0031471532,0.006393598,0.0048862905,0.004875142,-0.008404844,0.002282836,-0.001867854,0.005673247,0.0058978405,-0.0043933736,-0.0066960515,0.0006680407,-0.004282728,-0.002150012,-0.0065305317,0.003988723,0.0034053298,8.997979e-05,-0.0030742078,0.0072150873,0.0022817613,0.0014177469,-0.008083566,0.0024999096,-0.0044875187,-0.004588007,-0.007230065,0.0017948387,0.007797857,0.0027566252,-0.003973501,-0.003099485,0.0086898785,-0.0076434514,-0.0049129147,0.004765391,0.0012366107,0.005933315,-0.0007194347,-0.0052289646,-2.0186068e-05,0.007864303,0.0050240206,-0.0018186588,-0.00083893747,-0.009509584,0.005183906,0.0057166456,0.0026320303,-0.005389475,0.0023712656,0.0019839355,0.002693311,0.006788918,-0.0026460395,0.0059721638,-0.002350879,0.007192604,0.00074908097,0.004799161,-0.0027395575,-0.0016585846,0.0021965823,-0.007048061,-0.0032747593,0.0004891207,-0.00038381535,0.0050712707,-0.0013321734,-0.000973585,-0.0053093964,-0.0045393086,0.0013855104,-0.0036278688,-0.0025912768,0.002875428,-0.0016173992,0.0049695116,-0.0023101908,-0.0065859365,-0.006000653,0.0028065383,-0.0051207086,0.005115528,-0.0050439825,0.0040526236,0.0031606168,0.006495922,-0.00094426237,-0.0035409133,-0.007873172,0.0040437942,-0.009399613,-0.0022817142,0.00086163136,0.0063454825,-0.0031430312,-0.000842072,0.003251892,0.0047411914,-0.0017703627,-0.0048775487,-0.001634755,0.0054545817,-0.0013828515,-0.0060401643,-0.004102997,-0.0017232973,0.0054355436,0.0015863067,0.010864255,-0.004820085,0.00064511277,0.009127088,-0.0067346776,-7.508958e-05,-0.008505585,0.005450974
11,6.837987e-06,0.0034005963,-0.004190089,0.0036061488,-0.0030899288,-0.007766005,-0.0034632636,0.00014305451,-0.007545619,0.00086427736,-0.005564403,0.0039594825,-0.00351795,0.00809921,0.0006934049,-0.0021548758,-0.0054572662,-0.004242539,-0.0031308916,-0.0026891206,-0.0070119454,-0.0020711,-0.0021019303,0.007811964,-0.0021236143,0.0035084866,0.00014055308,-0.0014086898,0.005098357,0.004940585,0.0017667183,0.00591504,-0.00650337,0.0041605844,-0.0005814127,0.003475767,-0.0025297017,0.0018729691,0.0048833364,-0.007273282,-0.0036181659,0.002249237,0.0007440371,-0.0005804,-0.002923085,0.0045972653,0.0061894124,0.006835494,-0.0020345212,0.007101158,0.0024596658,0.0052264174,-0.000648218,-0.0026259178,0.0035820664,0.00021885199,-0.008127388,0.0040879915,-0.006094952,-0.0078033395,-0.009091275,0.0031825702,0.0071557164,-0.0042486293,0.00046647308,0.0010270658,0.00030621584,-0.0078567,0.0021416557,0.004412953,-0.0024436722,-0.0036406778,0.0072128964,-0.0034661295,-0.00031725803,0.0029749102,0.003998964,-0.0044062836,-0.0014322117,0.0046716034,0.0014108407,0.0029727633,0.005298874,0.0051263105,0.0033660198,-0.003322879,0.007027058,-0.0036692077,-0.000412919,-0.0021285922,-0.0007760686,0.0069253948,-0.0013915322,-0.0075192335,-0.0013069774,-0.007246073,-0.0006229409,0.0021920765,-0.003000002,-0.006317514,0.0025924041,-0.0064907162,-0.002329779,-0.0050810897,-0.0066460343,0.006016446,0.0015388514,-0.0051497654,0.0035074532,-0.004963039,-0.00053425354,-0.0011180586,-0.0066336254,0.005725106,-0.0016252039,-0.0018109733,-0.0022255783,-0.0052807652,-0.0012551832,0.006867987,0.0069339797,0.0042882212,-0.0014889673,0.0014124267,-0.0062220655,0.00047574393,-0.006295402,0.00608379
12,0.007298879,-0.0063233427,-0.0017607613,0.0038416106,-0.0035854294,0.005729016,0.0022755736,0.0044034584,0.003004227,-0.0057774712,-0.007056975,-0.0006910847,-0.0032938954,-0.004832635,-0.0070586815,-0.0045785042,-0.006640256,0.0013088041,0.0057771695,-0.0065280106,0.0034914385,0.0069601084,0.0067013525,0.005492817,0.0005319609,-0.0034952685,0.00044568858,-0.00036202927,-0.0016270239,-0.0066577364,0.002100065,-0.003519562,0.0018718656,0.0024697715,0.0052389833,-0.0061187795,-0.0003263824,0.00048406338,0.004450426,0.00311514,0.0017576335,-0.008145665,4.2573854e-05,-0.00868842,-0.0065156524,0.006067379,0.0044279313,-0.00441463,0.007671361,-0.0022680878,-0.006848924,0.0035951247,0.0038624492,0.0019863867,0.00533346,-0.0021367318,0.0021814338,0.0034494894,-0.0052287816,-0.0028041552,-0.007109687,-0.0032898537,0.0051745423,-0.00041871527,0.0013269931,-0.0063403593,-0.0025485053,0.0048020952,0.0041225865,-2.0664029e-06,0.004002004,0.0053292867,-0.0074889944,0.0056624142,-0.008077335,-0.0058273785,-0.0022907644,0.0012239425,-0.00405035,-0.0004176309,0.0013269042,-0.0026275346,-0.0003822724,-0.0062932204,-0.0044636377,-0.005058644,-0.0013589205,0.0034027174,-0.006833963,-0.005636585,-0.002562667,-0.0076782894,-0.006584473,0.0050779846,-0.004308973,-0.0040392964,-0.0006554284,0.00596239,0.0062620123,-0.0027720183,0.0047791367,0.0053379224,-0.0098219495,0.0063098995,0.005568391,-0.00016879565,0.0025496744,-0.0035205968,0.0069435467,-0.0071026213,0.0073350705,-0.0039016008,0.0043774648,-0.004685912,0.009012682,0.0054767616,-0.005417651,-0.00284513,0.0019709368,0.0008645798,0.00018410475,0.0051209633,0.0027543302,-0.003660717,0.0025876805,0.0066595054,0.005277112,0.0026137892
13,0.0053361724,-0.0010393998,-0.0063614193,0.0020612245,-0.0034991535,-0.005752634,-0.002603289,-0.000705442,0.0059602414,0.0016759535,-0.006485726,-0.0045265453,0.004374043,-0.00089496316,0.006993076,0.0049508302,-0.00040654588,0.00019928897,-0.0060669635,0.0014052344,0.00048737595,0.008986757,-0.0011400634,0.0041104066,-0.0036449032,0.005194061,0.0073964843,0.0047280947,-0.0011290559,-0.0031497325,0.0045605125,-0.0037401756,-7.102949e-05,0.00719621,0.004262588,0.0070322463,0.0016681516,0.00036806174,0.0033289688,0.0036939434,-0.0026340904,-0.001412933,0.004898135,-0.00028804367,-0.0068486785,0.00466166,-0.0033120252,0.0041712215,-0.0075018303,0.0017862112,-0.0031565668,0.0055966782,-0.0029405807,-0.0065373867,0.0054904395,-0.008903593,0.0048392494,-0.0046220925,-0.0046931193,0.0064970683,0.0039555947,0.0048169955,-0.0044426196,-0.0016309811,-0.0015484522,0.0049154204,0.006071874,-0.0034329626,-0.0016350015,-0.007538172,0.005543377,0.0006770033,-0.005765088,-0.0057038786,-0.003071953,0.0024844122,-0.005194434,0.0031901256,-0.006143395,-0.0029250362,-0.0055815205,-0.0020492838,0.0059581636,-0.0065782033,0.0016484553,-0.0013726078,-0.001566812,0.006252029,0.007040341,-0.0075380653,0.0066187773,0.0022840768,-0.003934747,0.006629902,0.0057625477,0.0025522173,0.0023004226,-0.0027769033,0.0029837626,-0.004560791,0.005172141,-0.0033878717,0.0014770869,-0.005049132,-0.0011604921,0.0006597805,-0.0005289314,0.00376821,-0.0039066724,0.006075897,0.004928361,-0.0058913585,-0.0038312646,0.0068698977,0.0018328739,-0.0046783676,-0.0033194376,-0.004527477,-4.2546482e-05,0.0018660001,0.00772544,-0.0067228423,0.006226678,0.006814124,-0.00029545106,-0.0020162647,0.0058794757,0.0049420563
14,0.008125466,0.0016462571,-0.008764859,0.007561983,-0.0030324478,-0.008614929,-0.006453459,0.007730238,0.0060043014,0.0074185673,-0.0060516233,-0.0030048524,0.0016336899,0.006433094,0.0052052448,-0.0027402719,0.0007337276,0.006605692,0.002861672,0.0010200617,0.0051146476,0.0016109071,-0.0072757206,0.008877935,-0.008213457,-0.0031347931,0.010733504,0.0008970569,0.0078067714,-0.00379655,0.010407369,0.009367466,-0.003948131,-0.0030911546,0.0052230824,-0.003177696,-0.00448083,0.005874101,-0.0037998713,-0.0031006217,-0.0046413015,-0.0029723945,0.009390036,-0.0044844686,0.0022137058,-0.0057403706,-0.0069238357,0.0012768131,0.0003738369,-0.0049323277,0.0031814682,0.004441743,0.0110603385,0.005438707,-0.0075257747,0.00032578927,0.0032661182,0.0010987303,-0.0074860193,0.0024833549,-0.0109818,-0.00548469,0.0009690931,0.005797382,-0.0048930803,0.006527704,-0.004809644,0.00062575703,0.0009278304,-0.0070759705,-0.0005315805,-0.0002677457,-0.002978092,-0.001660577,-0.009902441,0.0023591248,-0.00036396325,0.006916429,0.003815602,0.0016727165,-0.005898651,0.0068938457,-0.0014146409,-0.009889991,-0.007141203,-0.007067435,0.005673817,0.004720709,-0.0019949237,-0.0057667606,0.0047002737,-0.0005704054,0.00096910505,-0.0021823258,-0.008313924,0.0053024613,0.007538915,0.0025232271,-0.00017964105,-0.0060029994,-0.002843918,-0.007614592,-0.011502953,-0.005691544,-0.008963632,0.0027818293,0.004202677,0.0050457567,-0.0009240249,0.007725962,-0.0014514871,-0.005632093,-0.0021394258,0.003535821,0.011504801,0.003948882,0.005586995,0.0050480906,0.0012953359,-0.003885571,0.010222344,0.006613021,-0.0054517174,0.009416947,-0.00016266214,0.0062856446,0.005189833,-0.003584004
15,0.0021413448,0.0022457882,0.0013815511,-0.0044748103,0.0036818567,-0.003781252,-0.009595561,-0.0014326122,-0.0050691357,0.007863673,-0.00080386625,-0.0028889948,-0.0017908484,-0.004376471,-0.004478182,0.0052049956,-0.00803499,0.00966329,0.005532077,-0.010549624,0.0021943606,-0.0050240196,0.0025043583,-0.005117834,0.0037514716,-0.0012922841,0.009467761,0.0047690975,0.00855351,-0.004221882,0.00033553195,0.0027771392,-0.004788605,-0.00018145611,2.4669753e-05,-0.0006117481,0.0050960192,0.008361885,-0.001737245,0.00509926,0.0045887036,-0.009225842,0.0010915435,-0.009482419,0.002387059,0.0015790078,-0.003929404,0.005521934,-0.005631473,0.0054250006,-0.005854551,0.0038520307,0.010398393,0.009478535,-0.0019250588,-0.001783697,-0.008351924,0.001791139,-0.0028767686,-0.00948889,-0.0073433877,0.0049622185,-0.0024986858,-0.003987139,-0.0017200065,-6.8626025e-05,-0.006957458,-0.0066330736,-0.0005475517,-0.0006281633,-0.001087965,0.006291996,-0.0044249594,0.005167206,0.0037636573,0.0013304674,-0.009998666,-0.0023215911,-0.0053435946,0.0057555847,0.00678585,-0.0015953239,0.005600196,-0.0060117804,-0.003976377,0.0012630863,0.0056743273,0.00059599156,0.001650987,0.005917372,0.006653209,-0.003245907,-0.0073926593,-0.00016110441,0.001932357,-0.0027511232,0.012075897,0.009561665,0.004391126,-0.00026869556,-0.007918276,0.00020263804,-0.011314693,-0.0035443574,-0.0023293286,-0.0076661953,0.0059703426,-0.0036701031,-0.0064488486,0.0059425305,0.007836989,-0.0020250995,0.00753619,0.0014755692,-0.0011810847,-0.0036895168,0.00011296988,0.0019746237,-0.007905465,-0.0019471048,0.0038368949,0.009363187,-0.002386763,0.007008829,0.0035365613,-0.0009778829,-0.006979703,-0.007203515
16,-0.0034500917,-0.0054677376,-0.0052183717,0.00029907984,0.00095281523,-0.0055354545,-0.0037904342,0.0037883823,-0.0073009636,-0.005039388,-0.00563975,0.0063441233,-1.912735e-06,-0.0066936864,-0.0025335164,0.005550099,0.0036521184,-0.003930155,-0.0032357269,-0.0024080223,0.006778738,-0.0029020337,0.0039379243,-0.0041185985,0.002018833,-0.0016242664,0.008425079,-0.0056519685,0.007634243,-0.0003053387,0.00822642,0.008512214,0.00024167314,-0.0042713224,-0.0006601456,-0.0077004638,-0.0010857141,0.0071400674,0.0009877603,-0.0052195834,0.0042163134,0.0011625501,-0.0043714847,-0.0047588996,0.00014461958,0.0055304454,-0.004009485,0.0037214656,0.002224569,0.0071089813,-0.0024922092,-0.0016016907,-0.0063402615,0.0036848327,-0.0032770603,0.0011668187,-0.0036302758,0.006919036,-0.0048432164,-0.0075850496,-0.0048790653,0.0020702546,-0.0017863611,-0.0037446935,0.005611796,0.004199746,0.0063871513,0.0050794156,0.0077821617,-0.0018355928,0.002369672,-0.0064070974,0.0027895502,-0.0057434104,-0.005638236,0.002069236,-0.004512149,-0.0056104017,0.0065762745,0.0012300797,0.0010477119,-0.0013916886,-0.006068892,0.0016155082,-0.008046274,-0.003127313,-0.0010070823,-0.00041633187,-0.0015666827,-0.0055993376,0.00454443,-0.004003515,0.0038569556,-0.008415153,-0.007851633,0.0068655787,-0.0020185746,-0.0018513942,-0.002986869,-0.002874087,-0.0031891246,-0.0057402295,0.001854269,0.0025450513,-0.0038840084,0.0057145082,0.0031194629,0.0071667954,-0.006106631,-0.00026247426,0.0021737332,-0.007976565,-0.0072292197,-0.004809996,-0.0049924273,-0.0057948995,0.000313504,0.006940592,0.006148429,0.0070493924,0.0024537256,0.0073267585,-0.005548662,0.004458401,0.0025167475,-0.0018109129,0.0006496847,-0.001674955
17,0.0032396065,-0.009951613,-0.0057447227,0.0059494656,-0.0058881594,-0.008746799,0.0036277513,-0.0023484817,-0.0063178,0.009381425,-0.0031740111,-0.0031568126,-0.0049087857,0.008449905,-0.0033628778,0.0028702035,0.0005502945,0.007359475,0.0027993342,-0.009995143,0.006630071,0.0057562613,-0.001507728,0.003933913,0.004148016,0.0031878087,0.006874355,-0.005024268,-0.004123045,0.0027017384,0.0077622,0.007525856,-0.0077176145,-0.0013105402,0.0071746116,0.0029220905,-0.00065460685,0.003404907,0.002851391,0.0029168027,-0.00404128,-0.0013108456,-0.005319838,-0.004979701,0.0005048979,-0.007154714,-0.005291399,-0.001851896,-0.00054486346,0.0007682487,-0.0056362962,0.0026159014,-0.0015076926,-0.0002568221,0.00028203716,-0.008146691,0.002164455,-0.006171666,0.004287208,-0.009379903,-0.008597152,-0.00084872486,0.0059842765,0.0077867853,0.004602154,-0.0017114364,-0.005906503,-0.0039001317,0.0021476096,-0.0041578826,-0.0006957564,0.0014325073,0.0018563553,0.0008290629,-0.008002696,0.0063894717,-0.009257071,0.004040021,-0.0013113202,0.0070373733,0.0005801349,0.00028164877,-0.0014360426,-0.0019741138,0.00434428,-0.0053357,0.01114299,0.0012938677,-0.0016180724,-0.008692013,-0.005290738,0.0051039094,-0.0077626966,-0.005828623,0.0012697591,0.0037324165,0.008992456,0.005707085,-0.007100901,0.0062601715,0.0016040261,0.0019875306,-0.011093974,-0.00170228,-0.0018250842,-0.007984964,0.00028432847,-0.00035729146,-0.004046407,0.008401607,0.0049475543,0.0021110896,0.0046298946,-0.0019844784,0.005888679,0.0015863287,0.008061403,0.004190113,-0.006708038,0.010760977,0.010232826,-0.0009496204,0.002707975,0.00012416525,0.0070216693,0.007993087,-0.006617175,0.0046795285
18,0.010150704,-0.0027577328,0.001217688,0.002615668,-0.005973005,0.0030323102,-0.0007113892,0.0015133383,-0.0061223414,-0.0039734393,-0.008573283,-0.0034644215,0.004196096,0.0018857914,0.0021758976,0.0028963448,0.00072262017,0.008774772,0.0032704773,-0.009973524,0.0009835667,0.0015031949,-0.0032485456,-0.0052877893,-0.0023757275,-0.0014184667,0.0020235525,-0.0019372312,-0.006156296,-0.0075022033,-0.004048528,0.0009916377,0.0028822294,0.007022808,0.005477792,-0.004324795,-0.003556701,-0.004934416,0.0026457554,0.0048393714,-0.005409462,-0.008653103,-0.0025718901,0.00233116,-0.0018575389,-0.0023295076,0.0017740958,0.0005271477,-0.0027894005,-0.004719501,0.0028683846,0.0018630185,0.004288786,-0.00093538634,-0.0031061,0.0015107216,-0.0078059197,-0.0048907883,0.0044428557,-0.0037464928,-0.00061571633,0.00027262754,0.0005250402,-0.0034399235,0.0041393377,-0.0058755246,0.0028702456,-0.006883224,0.006915267,0.0046275114,-0.00845012,0.002157596,0.003843377,-0.0014426498,-0.009892073,-0.0024132011,-0.00627858,0.003461679,0.004830704,-0.0015074188,-0.0050324216,0.0064250357,0.006264941,0.00035605175,0.00462114,-0.0065017976,0.008742336,-0.0034936573,-0.0025636612,0.00029146296,0.0029881839,0.0017479798,0.0030834808,-0.009627262,-0.0076783113,0.0023765715,0.009533507,0.0040258337,-0.0055109416,0.0010705743,0.0062642694,0.004411286,-0.001171781,0.003581713,0.0013859067,0.0028211384,-0.0009009172,0.0003601576,0.005051766,0.000519355,-0.0020931247,0.0058159214,-0.004961025,0.0008686845,0.0041390946,-0.00076849846,0.008299927,-0.00035056495,-0.005667641,0.003942331,0.010346559,0.007938682,-0.0026277723,0.0013603199,0.0049692304,0.004725413,0.0025780783,0.0009838805
19,0.010428798,-0.0019531081,0.0045469194,-0.0028627098,0.0031710693,-0.0044239988,-0.004834234,-0.006648448,-0.0041528097,-0.0012021968,-0.0052757952,-0.008319319,-0.00291983,-0.0051842225,-0.00070941186,0.003176338,-0.0029433984,0.010252206,0.001765698,-0.0014234224,-0.0041420334,0.0028803227,0.0011338335,0.0070890705,0.0012319904,-0.0041047824,0.0047980584,-0.002727017,-0.004906679,-0.0018369008,0.0014900711,0.006746094,0.004218909,-0.0010305819,0.0019711084,-0.007220106,0.0054790727,0.008331308,0.0032259373,-0.007071695,-0.0067782584,0.0045387517,-0.003907527,0.00064313965,-0.00017084666,-0.0066511105,-0.0030054722,0.005637476,-0.006232772,-0.003988207,0.0040083914,-0.005016944,0.003474718,0.0022895976,-0.0024867763,-0.0021444715,0.002623891,-0.0006033819,0.0021504548,-0.0048330184,-0.0033580074,-0.0009030986,0.0034432015,0.008048118,-0.003838522,-0.0011550913,0.0018924022,0.002873808,0.0051695528,-0.0070922766,0.0050891684,-0.005867286,-0.006337943,-0.0035439732,-0.004210275,0.0032084081,-0.0021915159,0.003989682,-0.002974529,-0.007064684,-0.0040139738,0.007885308,0.0030275169,0.005516175,0.0009905199,-0.009202252,0.0010377815,0.0072653624,-0.0014128083,0.0040154937,0.00025531586,-0.0070828,-0.0062051597,-0.004101787,-0.0012012945,-0.007146657,0.0004440287,-0.002688884,-0.007980597,-0.002588421,-0.002761659,0.003545928,-0.010645813,-0.0034578806,-0.009184399,0.0029761866,-0.0018711061,-0.0026534004,-0.0037254156,0.0016099788,0.005236139,-0.0044146967,0.002970317,-0.0013214287,-0.005002469,0.004789391,0.006245443,0.0021314416,0.004084961,-0.0016003437,0.010831832,0.0042743958,-0.0050380435,-0.0043593887,0.0011526468,-0.0017106894,0.003930894,-0.0063486407
